Date,return,Y1,predicted_Y1,binary,pTradeRate,tTradeBool,
1/07/2024,0.008014084,0.013656106,0.008706857,0,0.013656106,0.013656106,0
2/07/2024,0.013656106,0.004288763,0.015964299,0,0.004288763,0.004288763,0
3/07/2024,0.004288763,0.014262451,0.004449095,0,0.014262451,0.014262451,0
5/07/2024,0.014262451,-0.005096484,0.02008161,0,-0.005096484,0,0.005096484
8/07/2024,-0.005096484,-0.016436046,-0.001641698,0,0,0,0
9/07/2024,-0.016436046,-0.002600516,-0.023678306,0,0,0,0
10/07/2024,-0.002600516,-0.012333263,-0.002081963,0,0,0,0
11/07/2024,-0.012333263,0.002543224,-0.01889384,0,0,0.002543224,0.002543224
12/07/2024,0.002543224,0.011842725,0.00250073,0,0.011842725,0.011842725,0
15/07/2024,0.011842725,0.00146603,0.011322163,0,0.00146603,0.00146603,0
16/07/2024,0.00146603,-0.006108127,0.002940708,0,-0.006108127,0,0.006108127
17/07/2024,-0.006108127,-0.011143661,-0.005074266,0,0,0,0
18/07/2024,-0.011143661,-0.010561051,-0.014082919,0,0,0,0
19/07/2024,-0.010561051,0.006908941,-0.008752369,0,0,0.006908941,0.006908941
22/07/2024,0.006908941,-0.016006442,0.006801635,0,-0.016006442,0,0.016006442
23/07/2024,-0.016006442,-0.027800002,-0.024868971,0,0,0,0
24/07/2024,-0.027800002,0.002088144,-0.024329984,0,0,0.002088144,0.002088144
25/07/2024,0.002088144,0.019152034,0.002539747,0,0.019152034,0.019152034,0
26/07/2024,0.019152034,-0.010805938,0.019114576,0,-0.010805938,0,0.010805938
29/07/2024,-0.010805938,0.003905887,-0.013323233,0,0,0.003905887,0.003905887
1/07/2024,0,0.017714562,0.00122593,0,0.017714562,0.017714562,0
2/07/2024,0.017714562,-0.010486309,0.028529289,0,-0.010486309,0,0.010486309
3/07/2024,-0.010486309,-0.001507033,-0.00693692,0,0,0,0
5/07/2024,-0.001507033,-0.003547224,0.000991293,0,-0.003547224,0,0.003547224
8/07/2024,-0.003547224,0.003219281,-0.001470198,0,0,0.003219281,0.003219281
9/07/2024,0.003219281,-0.004009343,0.003633789,0,-0.004009343,0,0.004009343
10/07/2024,-0.004009343,-0.039220689,-0.001519683,0,0,0,0
11/07/2024,-0.039220689,0.005328237,-0.025440172,0,0,0.005328237,0.005328237
12/07/2024,0.005328237,0.002993216,0.003902892,0,0.002993216,0.002993216,0
15/07/2024,0.002993216,0.027072099,0.000248691,0,0.027072099,0.027072099,0
16/07/2024,0.027072099,-0.0217879,0.028216609,0,-0.0217879,0,0.0217879
17/07/2024,-0.0217879,-0.007596314,-0.026297738,0,0,0,0
18/07/2024,-0.007596314,0.007528781,-0.009642226,0,0,0.007528781,0.007528781
19/07/2024,0.007528781,0.014689785,0.006424954,0,0.014689785,0.014689785,0
22/07/2024,0.014689785,-0.009567481,0.013776069,0,-0.009567481,0,0.009567481
23/07/2024,-0.009567481,-0.030857826,-0.008220634,0,0,0,0
24/07/2024,-0.030857826,-0.029552541,-0.025794608,0,0,0,0
25/07/2024,-0.029552541,0.00049982,-0.022945835,0,0,0.00049982,0.00049982
26/07/2024,0.00049982,0.001355164,0.001647826,0,0.001355164,0.001355164,0
29/07/2024,0.001355164,-0.009309633,0.002643821,0,-0.009309633,0,0.009309633
1/07/2024,0.004601047,0.012220775,0.004924274,0,0.012220775,0.012220775,0
2/07/2024,0.012220775,0.003126191,0.019755133,0,0.003126191,0.003126191,0
3/07/2024,0.003126191,0.025398521,0.003562119,0,0.025398521,0.025398521,0
5/07/2024,0.025398521,-0.008271297,0.023406886,0,-0.008271297,0,0.008271297
8/07/2024,-0.008271297,-0.000264559,-0.005257615,0,0,0,0
